
2022/05/31 (10:54:59) | ===> btop++ v.1.2.7
2022/05/31 (10:54:59) | INFO: Logger set to INFO

2022/11/08 (13:43:56) | ===> btop++ v.1.2.13
2022/11/08 (13:43:56) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/08 (13:48:10) | ===> btop++ v.1.2.13
2022/11/08 (13:48:10) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/10 (14:25:25) | ===> btop++ v.1.2.13
2022/11/10 (14:25:25) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/02/02 (13:26:10) | ===> btop++ v.1.2.13
2023/02/02 (13:26:10) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/09/29 (15:17:25) | ===> btop++ v.1.2.13
2023/09/29 (15:17:25) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
